84ca96dc, 173
e9558091, 148
817c85c9, 413
4c72ea77, 219
eddc58c6, 2733
3e3d2e80, 155
c39a8d63, 45
456d88cf, 512
7e4db2b7, 1542
dbe8530f, 1064
49bb3963, 1746
bb6b82d4, 8
fd80fd6f, 788
313a82cf, 110
bca8d48b, 8
6dec4042, 1730
90246c01, 825
44bb3963, 1773
7ac11cde, 618
4dbf95cf, 2347
26360bcd, 5
758b888e, 1303
c7c0115a, 4
6936f694, 258
aac80149, 55
c7710472, 997
079d0272, 3
ab84a4cd, 303
69fb3b7a, 58
ab74947e, 1
d690c548, 1092
179a6444, 82
9502240c, 2501
ae88bf8f, 139
e7e28c78, 627
2d3c077a, 5
ec088e8e, 36
a9a19770, 2854
75a10d3a, 88
e9cd6370, 56
f361fe46, 3
9813a171, 1325
e20ed08e, 21
5cbb3963, 2118
db8cd168, 176
5efd0a6c, 101
ed501bdc, 1140
2d83b1cc, 4
9e766360, 9
9326546a, 1361
03ee4874, 384
d5c25e1c, 1847
e1ecb591, 1334
57b08ed9, 698
0c07b979, 7
cf6008db, 376
10b55d1c, 355
c948e341, 595
87def8dd, 10
d5b0e81c, 3
e0057cc5, 4
3097c96b, 269
962c8806, 2554
09b1260c, 6
5102bd15, 381
40bb3963, 1862
622c9e63, 5215
539e7077, 4
f2bb3963, 706
e0491f51, 290
fa391dd2, 16504
aeb76a7e, 45
07e16442, 59
d25c6001, 197
f52a9db7, 1591
011e8a7f, 2
83a19770, 1236
4d244b0a, 35
28ba88cf, 1032
b439c082, 2
65bb3963, 1438
6cbb3963, 1503
2359fd7b, 113
64e52d80, 2372
9f448a06, 47
f9d0c66f, 32
ec145275, 8
94cd1382, 8
50a09fb7, 184
fac594d2, 1848
cf42e493, 33
6b78297e, 1134
43bb3963, 1772
5f0ba9cf, 53
0d608b2b, 1290
424e8f3c, 93
9e892a79, 4
0d998d63, 65
0ba4dcd2, 576
f726a474, 61
a1690c73, 347
813eb990, 220
522455c5, 90
acc9bad7, 2054
cd663d82, 6
4624fc8c, 437
4e595b75, 1752
58c97770, 1
d09d1fb2, 187
489a8d63, 84
ebbb3963, 715
7fa0858c, 419
080b1fd7, 500
4d7a1680, 86
26180672, 12
858db2cc, 2
966b5370, 2
ec52e3b7, 309
2a27c579, 19
5608936d, 1237
67bb3963, 1420
b5169c42, 25
fac881cf, 465
aa480a9e, 513
58cfa768, 1091
e569fb46, 50
7cfa256f, 58
3b4aa474, 7
54bb3963, 1660
5bbb3963, 2194
f191f0b7, 10
9a3e3024, 3
